mechanism,seed,final_reserve,average_reserve,liquidity_crisis,time_to_crisis,steps_survived,total_withdrawal,average_reward,social_welfare,mean_absolute_reward_gap,reward_std,reward_range,total_messages,total_rounds,wall_time_seconds,debate_override_rate,reward_per_department,reward_profit,reward_sustainability,reward_balanced,reward_risk_averse,composition,scale,leader_index,leader_name,leader_role,reward_free_rider
adaptive_voting,13,73.84930220508714,65.27649190283033,False,,100,665.0,130.26001841623005,651.3000920811503,3.9063401970346288,4.151603307323406,10.71471831261671,500,100,0.003617606998886913,1.0,"{'Growth Department': 133.0, 'Trading/Opportunity Team': 133.0, 'Compliance Department': 133.0, 'Operations Department': 130.014810393767, 'Risk Department': 122.28528168738329}",133.0,133.0,130.014810393767,122.28528168738329,standard,asymmetric,,,,
adaptive_voting,14,62.78778264508361,65.70181611733636,False,,100,632.5,123.6492424640705,618.2462123203525,4.020928273403274,4.220851616281244,10.877014029122932,500,100,0.003454302001046017,1.0,"{'Growth Department': 126.5, 'Trading/Opportunity Team': 126.5, 'Compliance Department': 126.5, 'Operations Department': 123.1232263494754, 'Risk Department': 115.62298597087707}",126.5,126.5,123.1232263494754,115.62298597087707,standard,asymmetric,,,,
adaptive_voting,15,58.13525467272307,64.53093193044894,False,,100,677.5,132.45751609836162,662.2875804918082,4.211733292885606,4.335693944347034,11.110913572343108,500,100,0.0037419219988805708,1.0,"{'Growth Department': 135.5, 'Trading/Opportunity Team': 135.5, 'Compliance Department': 135.5, 'Operations Department': 131.39849406415118, 'Risk Department': 124.38908642765689}",135.5,135.5,131.39849406415118,124.38908642765689,standard,asymmetric,,,,
adaptive_voting,16,57.515425410151764,64.10043399598173,False,,100,650.0,126.63739274652376,633.1869637326188,4.46425149518029,4.453984546363665,11.088535577495662,500,100,0.003378606001206208,1.0,"{'Growth Department': 130.0, 'Trading/Opportunity Team': 130.0, 'Compliance Department': 130.0, 'Operations Department': 124.27549931011451, 'Risk Department': 118.91146442250434}",130.0,130.0,124.27549931011451,118.91146442250434,standard,asymmetric,,,,
adaptive_voting,17,66.4683960172333,67.58078995011323,False,,100,605.0,118.84114795406921,594.2057397703461,3.4451759098826913,4.2896737456965015,10.738089207112864,500,100,0.0032534459969610907,1.0,"{'Growth Department': 121.0, 'Trading/Opportunity Team': 121.0, 'Compliance Department': 121.0, 'Operations Department': 120.9438289774589, 'Risk Department': 110.26191079288714}",121.0,121.0,120.9438289774589,110.26191079288714,standard,asymmetric,,,,
adaptive_voting,18,38.096018074576506,66.79279549460638,False,,100,620.0,121.55421795328702,607.7710897664351,3.635624100720354,4.079709616201181,10.493740395937337,500,100,0.003350747996591963,1.0,"{'Growth Department': 124.0, 'Trading/Opportunity Team': 124.0, 'Compliance Department': 124.0, 'Operations Department': 122.26483016237246, 'Risk Department': 113.50625960406266}",124.0,124.0,122.26483016237246,113.50625960406266,standard,asymmetric,,,,
adaptive_voting,19,38.75941842063561,66.44372270259619,False,,100,642.5,125.86713116965045,629.3356558482523,3.8612214211464813,4.253611247932719,10.968289730417709,500,100,0.00372223100202973,1.0,"{'Growth Department': 128.5, 'Trading/Opportunity Team': 128.5, 'Compliance Department': 128.5, 'Operations Department': 126.30394557866991, 'Risk Department': 117.53171026958229}",128.5,128.5,126.30394557866991,117.53171026958229,standard,asymmetric,,,,
centralized_profit,0,4.811948831292229,29.329927891671883,True,23.0,24,178.0,15.342667433265575,76.71333716632788,38.85598950883657,35.10207849527263,88.5,144,24,0.0009351089975098148,0.4583333333333333,"{'Growth Department': 57.0, 'Trading/Opportunity Team': 53.0, 'Compliance Department': -31.5, 'Operations Department': -12.849934430228572, 'Risk Department': 11.06327159655644}",55.0,-31.5,-12.849934430228572,11.06327159655644,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,1,0.4987512980175559,38.26938530021499,True,37.0,38,292.5,38.99301843510249,194.96509217551247,47.58862884965363,43.950282964280504,108.5,228,38,0.0012422500003594905,0.5,"{'Growth Department': 93.5, 'Trading/Opportunity Team': 88.5, 'Compliance Department': -15.0, 'Operations Department': 8.071069689664817, 'Risk Department': 19.894022485847646}",91.0,-15.0,8.071069689664817,19.894022485847646,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,2,2.0558990721616057,43.692267230166905,True,27.0,28,254.0,36.984198727928415,184.9209936396421,34.17378113919721,33.277036082482915,75.0,168,28,0.001034353997965809,0.35714285714285715,"{'Growth Department': 78.5, 'Trading/Opportunity Team': 76.5, 'Compliance Department': 3.5, 'Operations Department': 13.507125759624646, 'Risk Department': 12.913867880017454}",77.5,3.5,13.507125759624646,12.913867880017454,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,3,4.46370368041884,35.17508926469318,True,49.0,50,389.0,54.61219570952896,273.0609785476448,60.22307023683723,57.92809062304016,129.5,300,50,0.0015437690017279238,0.58,"{'Growth Department': 127.5, 'Trading/Opportunity Team': 122.5, 'Compliance Department': -2.0, 'Operations Department': 5.105811019767308, 'Risk Department': 19.955167527877478}",125.0,-2.0,5.105811019767308,19.955167527877478,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,4,3.234207640895878,40.92872260846497,True,31.0,32,276.0,39.53719274814124,197.6859637407062,38.87594959852556,36.81812380188972,87.5,192,32,0.0010597200016491115,0.4375,"{'Growth Department': 84.5, 'Trading/Opportunity Team': 83.0, 'Compliance Department': -3.0, 'Operations Department': 15.025315009215264, 'Risk Department': 18.160648731490944}",83.75,-3.0,15.025315009215264,18.160648731490944,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,5,1.9116863988678823,36.22320029747466,True,19.0,20,172.0,19.74013246195874,98.7006623097937,29.612297385079717,27.744457961364986,69.0,120,20,0.0011309870023978874,0.3,"{'Growth Department': 53.5, 'Trading/Opportunity Team': 51.5, 'Compliance Department': -15.5, 'Operations Department': 4.777520966541921, 'Risk Department': 4.4231413432517925}",52.5,-15.5,4.777520966541921,4.4231413432517925,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,6,4.271880858504689,36.861458930787705,True,65.0,66,495.5,77.86538035712917,389.3269017856458,75.08965797829246,70.74067841741096,165.65518118216397,396,66,0.0021508060017367825,0.6515151515151515,"{'Growth Department': 165.5, 'Trading/Opportunity Team': 160.5, 'Compliance Department': 22.5, 'Operations Department': -0.15518118216396193, 'Risk Department': 40.98208296780977}",163.0,22.5,-0.15518118216396193,40.98208296780977,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,7,1.612913470375494,35.77030307335169,True,25.0,26,206.0,21.98677530794421,109.93387653972106,40.227445056352316,36.80376426202608,93.0,156,26,0.0008918329986045137,0.34615384615384615,"{'Growth Department': 65.5, 'Trading/Opportunity Team': 63.5, 'Compliance Department': -27.5, 'Operations Department': -1.9215316022019682, 'Risk Department': 10.355408141923025}",64.5,-27.5,-1.9215316022019682,10.355408141923025,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,8,2.6291573308404317,37.43875785573576,True,64.0,65,519.0,83.19587340785547,415.97936703927735,74.14625965792398,71.18517149511545,159.70706143101248,390,65,0.0019451879998086952,0.5846153846153846,"{'Growth Department': 169.5, 'Trading/Opportunity Team': 169.5, 'Compliance Department': 25.5, 'Operations Department': 9.792938568987536, 'Risk Department': 41.6864284702898}",169.5,25.5,9.792938568987536,41.6864284702898,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,9,4.896084384539346,37.47323384316159,True,31.0,32,275.5,39.531108022105045,197.65554011052524,41.11614034173956,39.34368106046735,90.5,192,32,0.0012937419996887911,0.46875,"{'Growth Department': 89.0, 'Trading/Opportunity Team': 85.5, 'Compliance Department': -1.5, 'Operations Department': 9.5241228641278, 'Risk Department': 15.131417246397442}",87.25,-1.5,9.5241228641278,15.131417246397442,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,10,3.7291600484543963,35.299241487061636,True,68.0,69,497.5,72.14677058262131,360.7338529131066,78.76385655323203,74.45263404459232,169.6370517288501,414,69,0.002103586997691309,0.6666666666666666,"{'Growth Department': 163.5, 'Trading/Opportunity Team': 160.0, 'Compliance Department': 7.0, 'Operations Department': -6.137051728850123, 'Risk Department': 36.370904641956685}",161.75,7.0,-6.137051728850123,36.370904641956685,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,11,1.2272791286950664,36.42029445336239,True,30.0,31,260.0,35.67121897540722,178.3560948770361,42.40936125335842,40.10512485323092,93.5,186,31,0.0009617200012144167,0.45161290322580644,"{'Growth Department': 85.0, 'Trading/Opportunity Team': 83.0, 'Compliance Department': -8.5, 'Operations Department': 4.941492166509914, 'Risk Department': 13.914602710526196}",84.0,-8.5,4.941492166509914,13.914602710526196,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,12,4.211648015904132,37.295975218354585,True,48.0,49,410.5,61.70722229075392,308.5361114537696,61.58917528691602,59.49201539804624,132.0,294,49,0.001529354998638155,0.4489795918367347,"{'Growth Department': 134.0, 'Trading/Opportunity Team': 134.0, 'Compliance Department': 2.0, 'Operations Department': 13.06765445677484, 'Risk Department': 25.468456996994757}",134.0,2.0,13.06765445677484,25.468456996994757,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,13,1.6110179447765818,35.443358869169515,True,50.0,51,405.5,58.53828689131676,292.6914344565838,59.74898106276705,56.97919283974098,126.5,306,51,0.0017951839981833473,0.5882352941176471,"{'Growth Department': 130.0, 'Trading/Opportunity Team': 124.5, 'Compliance Department': 3.5, 'Operations Department': 4.068868357705878, 'Risk Department': 30.622566098877922}",127.25,3.5,4.068868357705878,30.622566098877922,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,14,3.2057325543919504,44.735616365967395,True,18.0,19,186.0,23.832523894293516,119.16261947146758,29.28954686075904,26.468041604829107,68.5,114,19,0.0007466489987564273,0.15789473684210525,"{'Growth Department': 57.0, 'Trading/Opportunity Team': 51.5, 'Compliance Department': -11.5, 'Operations Department': 16.722287351211566, 'Risk Department': 5.440332120256015}",54.25,-11.5,16.722287351211566,5.440332120256015,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,15,0.0,39.338987600531304,True,51.0,52,435.0,67.44960251570544,337.24801257852715,62.333688573275055,60.220789273264046,135.5,312,52,0.0017081480000342708,0.4807692307692308,"{'Growth Department': 143.5, 'Trading/Opportunity Team': 138.0, 'Compliance Department': 8.0, 'Operations Department': 19.414446417030916, 'Risk Department': 28.333566161496194}",140.75,8.0,19.414446417030916,28.333566161496194,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,16,0.7463424517996167,36.97974091995354,True,52.0,53,422.5,63.618530823962416,318.0926541198121,61.250291368183895,59.94282512252833,131.5,318,53,0.0016932899998209905,0.5849056603773585,"{'Growth Department': 137.5, 'Trading/Opportunity Team': 136.0, 'Compliance Department': 6.0, 'Operations Department': 16.18567894885067, 'Risk Department': 22.406975170961402}",136.75,6.0,16.18567894885067,22.406975170961402,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,17,2.1319769094487526,31.15325328483279,True,26.0,27,214.0,18.170044222864412,90.85022111432207,46.688799229429534,42.45754267409679,106.5,162,27,0.0010212790002697147,0.2962962962962963,"{'Growth Department': 66.0, 'Trading/Opportunity Team': 66.0, 'Compliance Department': -40.5, 'Operations Department': -12.804995183934597, 'Risk Department': 12.155216298256661}",66.0,-40.5,-12.804995183934597,12.155216298256661,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,18,3.2322934313578315,35.770198077594,True,35.0,36,261.0,27.763560637999216,138.81780318999608,52.54789937388745,48.22577572162204,120.5,216,36,0.001103587001125561,0.4166666666666667,"{'Growth Department': 84.5, 'Trading/Opportunity Team': 83.0, 'Compliance Department': -36.0, 'Operations Department': -4.424371086796519, 'Risk Department': 11.742174276792596}",83.75,-36.0,-4.424371086796519,11.742174276792596,standard,asymmetric,0.0,Growth Department,profit,
centralized_profit,19,1.0323463239140622,37.70668664078839,True,32.0,33,269.0,30.541942937297165,152.70971468648582,50.91235400231045,46.58173355412656,119.0,198,33,0.0011330889974487945,0.2727272727272727,"{'Growth Department': 84.5, 'Trading/Opportunity Team': 83.0, 'Compliance Department': -34.5, 'Operations Department': 2.7977874855597253, 'Risk Department': 16.911927200926108}",83.75,-34.5,2.7977874855597253,16.911927200926108,standard,asymmetric,0.0,Growth Department,profit,
centralized_sustainability,0,73.04690718394633,69.68996635181145,False,,100,556.5,109.6791085953123,548.3955429765615,23.473426247500328,27.70141073809567,71.10445702343853,600,100,0.0027454789997136686,0.99,"{'Growth Department': 125.5, 'Trading/Opportunity Team': 121.0, 'Compliance Department': 125.5, 'Operations Department': 122.0, 'Risk Department': 54.395542976561465}",123.25,125.5,122.0,54.395542976561465,standard,asymmetric,2.0,Compliance Department,sustainability,
centralized_sustainability,1,67.96759766281245,70.14866887919966,False,,100,587.5,116.01739228225162,580.0869614112581,28.212172348397406,33.051557129864754,85.9130385887419,600,100,0.0028644169979088474,0.98,"{'Growth Department': 133.0, 'Trading/Opportunity Team': 128.5, 'Compliance Department': 136.0, 'Operations Department': 132.5, 'Risk Department': 50.086961411258095}",130.75,136.0,132.5,50.086961411258095,standard,asymmetric,2.0,Compliance Department,sustainability,
centralized_sustainability,2,68.99352718529235,69.35145723895117,False,,100,595.0,117.47397856061892,587.3698928030946,28.12163430300973,31.77705791641583,83.13010719690541,600,100,0.0028739720000885427,0.96,"{'Growth Department': 133.0, 'Trading/Opportunity Team': 136.0, 'Compliance Department': 137.5, 'Operations Department': 126.5, 'Risk Department': 54.369892803094594}",134.5,137.5,126.5,54.369892803094594,standard,asymmetric,2.0,Compliance Department,sustainability,
centralized_sustainability,3,63.62527948916954,70.07042851819153,False,,100,626.0,123.71528101381338,618.5764050690669,32.13555037789859,37.65982832621519,97.92359493093309,600,100,0.0030587249966629315,0.96,"{'Growth Department': 143.5, 'Trading/Opportunity Team': 141.5, 'Compliance Department': 146.5, 'Operations Department': 138.5, 'Risk Department': 48.576405069066915}",142.5,146.5,138.5,48.576405069066915,standard,asymmetric,2.0,Compliance Department,sustainability,
centralized_sustainability,4,72.41965692880973,69.91747793269388,False,,100,617.5,122.06681824804096,610.3340912402048,33.013090803134475,38.254341802765595,99.66590875979523,600,100,0.003075747998082079,0.95,"{'Growth Department': 142.5, 'Trading/Opportunity Team': 141.0, 'Compliance Department': 145.5, 'Operations Department': 135.5, 'Risk Department': 45.83409124020477}",141.75,145.5,135.5,45.83409124020477,standard,asymmetric,2.0,Compliance Department,sustainability,
centralized_sustainability,5,67.71703985640339,70.44177019304077,False,,100,592.0,116.91737478377463,584.5868739188732,29.7322003459606,34.988744086645234,90.41312608112688,600,100,0.0028412249994289596,0.99,"{'Growth Department': 133.0, 'Trading/Opportunity Team': 136.0, 'Compliance Department': 137.5, 'Operations Department': 131.0, 'Risk Department': 47.08687391887313}",134.5,137.5,131.0,47.08687391887313,standard,asymmetric,2.0,Compliance Department,sustainability,
centralized_sustainability,6,71.25520583430453,70.42003257827355,False,,100,616.0,121.68919114543105,608.4459557271553,27.377294167310307,32.19857643207228,82.5540442728447,600,100,0.003260677000071155,0.97,"{'Growth Department': 140.0, 'Trading/Opportunity Team': 137.0, 'Compliance Department': 140.0, 'Operations Department': 134.0, 'Risk Department': 57.445955727155294}",138.5,140.0,134.0,57.445955727155294,standard,asymmetric,2.0,Compliance Department,sustainability,
centralized_sustainability,7,69.10182548001967,68.87098916083552,False,,100,595.0,117.49757098707755,587.4878549353878,28.97918127517671,32.401078585709776,85.10773790524217,600,100,0.003603312998166075,0.97,"{'Growth Department': 135.5, 'Trading/Opportunity Team': 135.5, 'Compliance Department': 138.5, 'Operations Department': 124.5955928406299, 'Risk Department': 53.39226209475782}",135.5,138.5,124.5955928406299,53.39226209475782,standard,asymmetric,2.0,Compliance Department,sustainability,
