mechanism,seed,final_reserve,average_reserve,liquidity_crisis,time_to_crisis,steps_survived,total_withdrawal,average_reward,social_welfare,mean_absolute_reward_gap,reward_std,reward_range,total_messages,total_rounds,wall_time_seconds,debate_override_rate,reward_per_department,reward_profit,reward_sustainability,reward_balanced,reward_risk_averse,recovery_noise_std,shock_probability,composition,leader_index,leader_name,leader_role
centralized_profit,3,4.274686107585934,40.4462126059569,True,38.0,39,332.0,49.326314359004975,246.63157179502488,32.698698107075415,30.856850200893568,71.0,234,39,0.0009544460008328315,0.48717948717948717,"{'Growth Department': 88.0, 'Trading/Opportunity Team': 85.0, 'Compliance Department': 17.0, 'Operations Department': 22.633136830778664, 'Risk Department': 33.998434964246236}",86.5,17.0,22.633136830778664,33.998434964246236,0.01,0.0,standard,0.0,Growth Department,profit
centralized_profit,4,1.434433976921909,42.20656157190999,True,35.0,36,316.0,47.12788646091117,235.63943230455584,30.910177682746436,28.85895684963101,67.0,216,36,0.000935140997171402,0.3888888888888889,"{'Growth Department': 82.0, 'Trading/Opportunity Team': 81.0, 'Compliance Department': 15.0, 'Operations Department': 21.8113894828348, 'Risk Department': 35.82804282172103}",81.5,15.0,21.8113894828348,35.82804282172103,0.01,0.0,standard,0.0,Growth Department,profit
centralized_profit,5,3.3414363748286213,39.897793685432724,True,39.0,40,341.0,51.142494007274756,255.7124700363738,35.39115855477573,33.49213594037234,77.0,240,40,0.0009151390004262794,0.425,"{'Growth Department': 92.0, 'Trading/Opportunity Team': 91.0, 'Compliance Department': 15.0, 'Operations Department': 23.80525903265169, 'Risk Department': 33.907211003722104}",91.5,15.0,23.80525903265169,33.907211003722104,0.01,0.0,standard,0.0,Growth Department,profit
centralized_profit,6,1.044247527969981,37.99744347245564,True,47.0,48,396.0,59.08281475128409,295.41407375642046,41.579714141082505,38.739478315332185,89.43660669088283,288,48,0.001079683999705594,0.5833333333333334,"{'Growth Department': 106.0, 'Trading/Opportunity Team': 104.0, 'Compliance Department': 23.0, 'Operations Department': 16.563393309117174, 'Risk Department': 45.85068044730329}",105.0,23.0,16.563393309117174,45.85068044730329,0.01,0.0,standard,0.0,Growth Department,profit
centralized_profit,7,1.7042952289670898,39.273648507553325,True,38.0,39,328.0,46.275594228204284,231.37797114102142,37.861207342960135,34.764008617318154,85.0,234,39,0.0008871950012689922,0.46153846153846156,"{'Growth Department': 88.0, 'Trading/Opportunity Team': 86.0, 'Compliance Department': 3.0, 'Operations Department': 19.36745410649918, 'Risk Department': 35.01051703452225}",87.0,3.0,19.36745410649918,35.01051703452225,0.01,0.0,standard,0.0,Growth Department,profit
centralized_profit,8,1.4503896564148882,39.63597841436174,True,36.0,37,325.0,47.43574707185064,237.1787353592532,35.47261734342191,32.79484284095463,78.0,222,37,0.0008640989981358871,0.40540540540540543,"{'Growth Department': 86.0, 'Trading/Opportunity Team': 86.0, 'Compliance Department': 8.0, 'Operations Department': 20.296141603613066, 'Risk Department': 36.882593755640144}",86.0,8.0,20.296141603613066,36.882593755640144,0.01,0.0,standard,0.0,Growth Department,profit
centralized_profit,9,0.9233063429829595,39.63294187353691,True,38.0,39,336.0,49.05437727198254,245.27188635991268,36.270700861202144,33.64452060061717,80.0,234,39,0.0008999269994092174,0.48717948717948717,"{'Growth Department': 90.0, 'Trading/Opportunity Team': 88.0, 'Compliance Department': 10.0, 'Operations Department': 21.308119617486582, 'Risk Department': 35.96376674242611}",89.0,10.0,21.308119617486582,35.96376674242611,0.01,0.0,standard,0.0,Growth Department,profit
centralized_sustainability,0,70.97487988685248,69.99752199381709,False,,100,650.0,129.15830959222097,645.7915479611048,12.066704652446473,14.690189657546952,37.20845203889523,600,100,0.0022684460018354002,0.99,"{'Growth Department': 137.0, 'Trading/Opportunity Team': 136.0, 'Compliance Department': 137.0, 'Operations Department': 136.0, 'Risk Department': 99.79154796110477}",136.5,137.0,136.0,99.79154796110477,0.01,0.0,standard,2.0,Compliance Department,sustainability
centralized_sustainability,1,67.43446528823124,69.6034199447953,False,,100,656.0,130.35592724515016,651.7796362257508,13.510516407759747,15.830841374843292,41.22036377424921,600,100,0.0021911809999437537,0.97,"{'Growth Department': 139.0, 'Trading/Opportunity Team': 137.0, 'Compliance Department': 140.0, 'Operations Department': 137.0, 'Risk Department': 98.77963622575079}",138.0,140.0,137.0,98.77963622575079,0.01,0.0,standard,2.0,Compliance Department,sustainability
centralized_sustainability,2,69.49954926497091,69.5434211026545,False,,100,656.0,130.31664012059812,651.5832006029906,13.893375807043025,15.522115710997987,40.416799397009456,600,100,0.002254799001093488,0.95,"{'Growth Department': 138.0, 'Trading/Opportunity Team': 140.0, 'Compliance Department': 140.0, 'Operations Department': 134.0, 'Risk Department': 99.58320060299054}",139.0,140.0,134.0,99.58320060299054,0.01,0.0,standard,2.0,Compliance Department,sustainability
centralized_sustainability,3,71.25266798429578,69.39245957322673,False,,100,655.0,130.11222097888586,650.5611048944293,13.580446433782646,15.826188155829382,41.438895105570765,600,100,0.002300837000802858,0.96,"{'Growth Department': 138.0, 'Trading/Opportunity Team': 138.0, 'Compliance Department': 140.0, 'Operations Department': 136.0, 'Risk Department': 98.56110489442923}",138.0,140.0,136.0,98.56110489442923,0.01,0.0,standard,2.0,Compliance Department,sustainability
centralized_sustainability,4,67.5371518113868,69.06961082846111,False,,100,662.0,131.46756593106852,657.3378296553426,14.131894510290367,16.17034286238002,41.6621703446574,600,100,0.002214156000263756,0.95,"{'Growth Department': 140.0, 'Trading/Opportunity Team': 141.0, 'Compliance Department': 141.0, 'Operations Department': 136.0, 'Risk Department': 99.3378296553426}",140.5,141.0,136.0,99.3378296553426,0.01,0.0,standard,2.0,Compliance Department,sustainability
centralized_sustainability,5,69.16456857151269,69.79224902055597,False,,100,650.0,129.17276544536628,645.8638272268314,13.80357528741396,15.74364643572158,41.136172773168624,600,100,0.0022209300004760735,0.99,"{'Growth Department': 137.0, 'Trading/Opportunity Team': 138.0, 'Compliance Department': 139.0, 'Operations Department': 134.0, 'Risk Department': 97.86382722683138}",137.5,139.0,134.0,97.86382722683138,0.01,0.0,standard,2.0,Compliance Department,sustainability
centralized_sustainability,6,66.49849835276537,69.4183856607434,False,,100,661.0,131.29904875674714,656.4952437837356,12.641521989204584,14.933743593530917,38.504756216264326,600,100,0.002286003997141961,0.97,"{'Growth Department': 139.0, 'Trading/Opportunity Team': 139.0, 'Compliance Department': 140.0, 'Operations Department': 137.0, 'Risk Department': 101.49524378373567}",139.0,140.0,137.0,101.49524378373567,0.01,0.0,standard,2.0,Compliance Department,sustainability
centralized_sustainability,7,67.25902924851847,69.42943374672431,False,,100,656.0,130.33596389228597,651.6798194614299,13.702457772342433,15.445057391974204,40.3201805385701,600,100,0.002139270000043325,0.96,"{'Growth Department': 137.0, 'Trading/Opportunity Team': 140.0, 'Compliance Department': 140.0, 'Operations Department': 135.0, 'Risk Department': 99.6798194614299}",138.5,140.0,135.0,99.6798194614299,0.01,0.0,standard,2.0,Compliance Department,sustainability
centralized_sustainability,8,68.44391575981037,68.88973403415714,False,,100,665.0,132.08406787993954,660.4203393996977,14.265491392096724,15.98273835478824,41.57966060030226,600,100,0.0023018459978629835,0.95,"{'Growth Department': 140.0, 'Trading/Opportunity Team': 142.0, 'Compliance Department': 142.0, 'Operations Department': 136.0, 'Risk Department': 100.42033939969774}",141.0,142.0,136.0,100.42033939969774,0.01,0.0,standard,2.0,Compliance Department,sustainability
centralized_sustainability,9,71.29798020293136,69.30718103640406,False,,100,658.0,130.7332978422424,653.6664892112119,13.866723452412176,15.64246302949976,41.33351078878805,600,100,0.0023060380008246284,0.97,"{'Growth Department': 140.0, 'Trading/Opportunity Team': 136.0, 'Compliance Department': 141.0, 'Operations Department': 137.0, 'Risk Department': 99.66648921121195}",138.0,141.0,137.0,99.66648921121195,0.01,0.0,standard,2.0,Compliance Department,sustainability
centralized_risk_averse,0,78.08571080069049,76.28201278309535,False,,100,557.0,110.95767609846727,554.7883804923364,1.92,1.7908560105613762,4.0,600,100,0.002289924002980115,0.96,"{'Growth Department': 113.0, 'Trading/Opportunity Team': 113.0, 'Compliance Department': 109.0, 'Operations Department': 109.0, 'Risk Department': 110.78838049233637}",113.0,109.0,109.0,110.78838049233637,0.01,0.0,standard,4.0,Risk Department,risk_averse
centralized_risk_averse,1,76.18483994092588,77.21984670943512,False,,100,541.0,107.86561579411884,539.3280789705942,1.76,1.6135265871372941,4.0,600,100,0.0022811349990661256,0.96,"{'Growth Department': 110.0, 'Trading/Opportunity Team': 109.0, 'Compliance Department': 106.0, 'Operations Department': 106.0, 'Risk Department': 108.32807897059422}",109.5,106.0,106.0,108.32807897059422,0.01,0.0,standard,4.0,Risk Department,risk_averse
