mechanism,composition,scale,final_reserve_mean,final_reserve_std,average_reserve_mean,average_reserve_std,steps_survived_mean,steps_survived_std,total_withdrawal_mean,total_withdrawal_std,average_reward_mean,average_reward_std,social_welfare_mean,social_welfare_std,mean_absolute_reward_gap_mean,mean_absolute_reward_gap_std,reward_std_mean,reward_std_std,reward_range_mean,reward_range_std,total_messages_mean,total_messages_std,total_rounds_mean,total_rounds_std,wall_time_seconds_mean,wall_time_seconds_std,debate_override_rate_mean,debate_override_rate_std,crisis_rate,reward_profit_mean,reward_profit_std,reward_sustainability_mean,reward_sustainability_std,reward_balanced_mean,reward_balanced_std,reward_risk_averse_mean,reward_risk_averse_std,leader_index,leader_name,leader_role
centralized_profit,aggressive,standard,1.9465972733562693,1.8419730587828569,41.84090968851942,3.023632904725396,17.05,2.704285098641939,183.25,25.81283850294166,28.217487483015514,4.764748368188304,141.08743741507755,23.82374184094152,14.683419047388947,2.0645023407129472,14.266382951072268,2.075718075819385,32.458806461258476,4.40593591936632,102.3,16.225710591851637,17.05,2.704285098641939,0.0005987170494336169,9.618065898001036e-05,0.10083201262961325,0.07394382361633024,1.0,39.74999999999999,6.331832693869753,,,9.021339583462694,3.3075790190006082,12.816097831614863,3.3412430482688698,0.0,Growth Department,profit
centralized_risk_averse,aggressive,standard,71.79056937970147,5.889392145766275,73.1015993633354,1.8316820211746223,100.0,0.0,554.25,13.509743072861779,110.03369932017024,2.6105091917695797,550.1684966008512,13.052545958847896,1.862867615168263,0.4869184780729599,1.797461414393449,0.43965569976950286,4.461419195652898,1.0185497423579581,600.0,0.0,100.0,0.0,0.003617851049421006,0.0009082908677925682,0.966,0.015355437918998302,0.0,111.35,2.928934101471086,,,108.26189775325793,1.724432163054464,107.85659884759336,2.894300759236891,4.0,Risk Department,risk_averse
structured_debate,aggressive,standard,3.536489036501328,0.928696994691341,37.16874789424448,4.668749448839992,38.1,12.238420950777149,296.25,78.80280184706231,45.889426266977615,12.783813329368778,229.44713133488804,63.91906664684387,21.440250087759235,7.483186876126376,21.089393427689945,7.719538140648839,52.94869438338327,21.47991091241457,571.5,183.57631426165725,76.2,24.476841901554298,0.002292865099661867,0.0007103356029829024,0.8171105695929736,0.05663865084962025,1.0,61.75,17.5208730990224,,,10.48834027800261,10.393034968360007,33.708791056885445,12.221162472731232,,,
independent,conservative,standard,2.2322341839150615,1.4698885554448118,43.21789630253854,3.0168284356478083,45.3,12.624537511070299,361.65,103.56908449512284,50.701110330549376,21.39549737803972,253.5055516527469,106.9774868901986,35.88124887057411,6.871382749511107,37.35957879882158,7.620429865342438,101.31964700599767,20.619498842458757,0.0,0.0,0.0,0.0,0.0015592981502777548,0.000424603230313556,0.0,0.0,1.0,122.65,36.556049251007764,23.15,18.17900755788043,40.755123492315754,22.49376832279729,43.800428160431125,14.569491750040417,,,
voting,conservative,standard,59.071673567457495,11.845995411446612,62.3212442719592,2.4596184882809298,100.0,0.0,668.75,18.055105707396542,131.7096246777385,3.3226113553699133,658.5481233886925,16.613056776849575,2.8272549116390726,1.0510717666211176,3.041599961776981,0.9078557115421121,7.468466586436745,2.1811529972805985,500.0,0.0,100.0,0.0,0.007845569850178435,0.019110955734927104,0.9974999999999999,0.004442616583193197,0.0,133.75,3.6110211414793083,133.75,3.6110211414793083,130.07123848733855,4.340123646922578,127.22688490135397,3.595963593533456,,,
adaptive_voting,conservative,standard,67.54586885957318,2.6297022554269183,67.61491304093809,1.0605652847259432,100.0,0.0,628.75,16.04885632914957,124.63904458126198,3.2479166282639023,623.19522290631,16.239583141319525,1.7603014352033732,0.1391704762261945,2.1717739497281925,0.12703260113522913,5.447106876331144,0.3366344936878833,500.0,0.0,100.0,0.0,0.0026807906502654077,0.0003010425068749859,0.9984999999999999,0.0036634754853252355,0.0,125.75,3.209771265829914,125.75,3.209771265829914,125.64232978264121,3.325622701585471,120.30289312366885,3.3065325334836286,,,
centralized_profit,conservative,standard,34.915970040842794,17.812156469486805,49.86854554852431,4.931089816318423,96.2,12.133468285349371,691.6,90.51106358660773,128.0788243812309,25.3529312006335,640.3941219061546,126.76465600316752,39.46186922695419,6.886632657994012,38.238706859363205,6.040712277465635,98.50959835163016,12.825881343710213,577.2,72.80080971209621,96.2,12.133468285349371,0.002905653999914648,0.0007870142159551391,0.7945591128317501,0.029963154547997438,0.15,192.0,28.196677669167823,100.225,27.697840976091296,146.88854310448806,38.39264841948018,101.05557880166647,14.1752675103324,0.0,Growth Department,profit
centralized_sustainability,conservative,standard,67.77985376301062,3.221145519692617,67.61451130613865,1.2325416475978994,100.0,0.0,628.3,13.416800151891266,124.62113897390854,2.7557717843910177,623.1056948695425,13.778858921955086,12.687423274112724,1.3849118708533217,13.311353162049707,1.2799574181914635,35.733707339571026,3.43868045182327,600.0,0.0,100.0,0.0,0.0028322030999333946,0.0003348367965241911,0.953,0.01866604008973458,0.0,133.5,3.4259074863841783,130.15,3.5097608255594253,130.43940220911364,3.36902916558435,98.86629266042897,1.6519211731408214,1.0,Compliance Department,sustainability
centralized_risk_averse,conservative,standard,72.87792978323726,4.6063901616548755,73.84823352857983,1.579447884162941,100.0,0.0,545.3,11.074389611313029,108.31823332363547,2.1871084461623362,541.5911666181773,10.935542230811675,1.9107756385947987,0.6863656675468272,1.8182579383201016,0.6032180900346998,5.057670488159674,1.8209667665029947,600.0,0.0,100.0,0.0,0.002562207249866333,0.0006686033675424083,0.9644999999999999,0.015719582155957427,0.0,111.35,3.0996604228273306,106.875,1.8415882733176416,108.36919469766342,1.845686918072145,108.1219719205139,2.9733918380020286,4.0,Risk Department,risk_averse
structured_debate,conservative,standard,2.979260746714753,1.3537517275952724,43.502493687721554,3.6663528574886595,49.4,14.716263827909296,387.0,116.92777797922055,54.33467777872075,22.331663052308784,271.6733888936038,111.65831526154392,39.29989698304237,9.845612043666177,39.997404904929404,9.727519738371475,108.83277423351387,26.62639241098191,741.0,220.74395741863944,98.8,29.432527655818593,0.0023308130497753155,0.0006470933521884399,0.0767725058629141,0.03499196239895786,1.0,130.75,40.129887798707365,23.55,15.308150563807846,46.849977200682666,27.944493207847163,46.973411692921175,16.252398294883427,,,
