mechanism,composition,scale,model,final_reserve_mean,final_reserve_std,average_reserve_mean,average_reserve_std,steps_survived_mean,steps_survived_std,total_withdrawal_mean,total_withdrawal_std,average_reward_mean,average_reward_std,social_welfare_mean,social_welfare_std,total_messages_mean,total_messages_std,total_rounds_mean,total_rounds_std,wall_time_seconds_mean,wall_time_seconds_std,debate_override_rate_mean,debate_override_rate_std,reward_profit_mean,reward_profit_std,reward_sustainability_mean,reward_sustainability_std,reward_balanced_mean,reward_balanced_std,reward_risk_averse_mean,reward_risk_averse_std,llm_calls_mean,llm_calls_std,llm_total_latency_ms_mean,llm_total_latency_ms_std,llm_avg_latency_ms_mean,llm_avg_latency_ms_std,crisis_rate,mean_absolute_reward_gap_mean,mean_absolute_reward_gap_std,reward_std_mean,reward_std_std,reward_range_mean,reward_range_std,leader_index,leader_name,leader_role
centralized_leader_idx2,aggressive,standard,google/gemma-4-31b-it,4.205089583610189,,43.61354458329424,,9.0,,109.0,,14.944318469969229,,74.72159234984613,,54.0,,9.0,,268.612125782005,,0.0,,22.0,,,,4.337490558173926,,4.384101791672203,,45.0,,268610.5011910113,,5969.122248689139,,1.0,8.470546734716791,,8.641422338974929,,17.662509441826074,,2,Investment Department,profit
centralized_leader_idx4,aggressive,standard,google/gemma-4-31b-it,74.01812278214193,,68.44912881990572,,20.0,,110.0,,21.787974230059096,,108.93987115029547,,120.0,,20.0,,412.30236187299306,,0.95,,22.0,,,,22.0,,20.93987115029548,,100.0,,412298.74656499305,,4122.9874656499305,,0.0,0.3392412319054472,,0.424051539881809,,1.0601288497045225,,4,Risk Department,risk_averse
structured_debate,aggressive,standard,google/gemma-4-31b-it,22.09429121478356,,36.49906650470732,,20.0,,153.0,,26.04096936002162,,130.2048468001081,,300.0,,40.0,,403.8806119429937,,0.9,,34.0,,,,7.554355110788621,,20.650491689319484,,100.0,,403876.6898489557,,4038.766898489557,,0.0,10.598527694256525,,10.591040195397493,,26.44564488921138,,,,
llm_centralized,aggressive,standard,google/gemma-4-31b-it,36.94018261865176,,51.64491069740207,,20.0,,154.0,,29.24206567842536,,146.2103283921268,,120.0,,20.0,,779.9187749410048,,1.0,,38.0,,,,13.48172824825026,,18.728600143876545,,120.0,,779913.7841179618,,6499.281534316348,,0.0,10.92927093753967,,10.853805177928791,,24.51827175174974,,,,
crewai_debate,aggressive,standard,google/gemma-4-31b-it,5.4612557991181045,,35.00397804348712,,20.0,,161.0,,27.06591229689376,,135.32956148446877,,220.0,,60.0,,4708.623238501998,,0.95,,37.0,,,,3.920336368486411,,20.40922511598236,,320.0,,4708619.271696982,,14714.435224053068,,0.0,13.240016343527172,,13.236974463684666,,33.07966363151359,,,,
independent,conservative,standard,google/gemma-4-31b-it,34.35409328301031,,46.51016269842398,,20.0,,155.0,,28.505387401492904,,142.5269370074645,,0.0,,0.0,,329.8374422509951,,0.0,,60.0,,20.0,,21.707123446990337,,20.81981356047417,,100.0,,329833.2676000573,,3298.332676000573,,0.0,13.073139751518454,,15.759938391312517,,40.0,,,,
centralized_leader_idx1,conservative,standard,google/gemma-4-31b-it,74.95615627857127,,71.77759681331392,,20.0,,100.0,,19.782743014212365,,98.91371507106184,,120.0,,20.0,,324.03030828401097,,1.0,,20.0,,20.0,,20.0,,18.91371507106184,,100.0,,324025.9011821472,,3240.259011821472,,0.0,0.34761117726021323,,0.43451397157526656,,1.0862849289381664,,1,Compliance Department,sustainability
centralized_leader_idx2,conservative,standard,google/gemma-4-31b-it,74.95615627857127,,71.77759681331392,,20.0,,100.0,,19.782743014212365,,98.91371507106184,,120.0,,20.0,,214.0513194919913,,1.0,,20.0,,20.0,,20.0,,18.91371507106184,,100.0,,214046.6059310565,,2140.466059310565,,0.0,0.34761117726021323,,0.43451397157526656,,1.0862849289381664,,2,ESG Department,sustainability
centralized_leader_idx4,conservative,standard,google/gemma-4-31b-it,74.44472174500655,,69.87103883171632,,20.0,,106.0,,20.98751336901456,,104.9375668450728,,120.0,,20.0,,210.55137092099176,,0.95,,22.0,,20.0,,22.0,,20.93756684507281,,100.0,,210546.797521034,,2105.46797521034,,0.0,0.96,,0.8947757617489792,,2.0,,4,Risk Department,risk_averse
structured_debate,conservative,standard,google/gemma-4-31b-it,32.0718632017096,,45.58249096128685,,20.0,,156.0,,28.488784066496464,,142.44392033248232,,300.0,,40.0,,283.76018509799906,,0.0,,60.0,,20.0,,21.653917362425776,,20.79000297005655,,100.0,,283755.66857702506,,2837.5566857702506,,0.0,13.064626777988124,,15.767449208393922,,40.0,,,,
llm_centralized,conservative,standard,google/gemma-4-31b-it,54.66481053584333,,59.605929666250304,,20.0,,137.0,,27.18677130727456,,135.93385653637282,,120.0,,20.0,,437.7520927240112,,1.0,,39.0,,20.0,,37.969873302021576,,18.963983234351243,,120.0,,437745.6107449543,,3647.880089541286,,0.0,9.286705093331054,,9.238411856093972,,20.036016765648757,,,,
crewai_debate,conservative,standard,google/gemma-4-31b-it,52.36069054304463,,58.11339357243046,,20.0,,139.0,,27.548462990983744,,137.74231495491873,,220.0,,60.0,,2492.1914314769965,,1.0,,40.0,,20.0,,38.77605916383,,18.96625579108873,,320.0,,2492186.6820950382,,7788.083381546994,,0.0,9.734967613064404,,9.682071650032812,,21.033744208911262,,,,
independent,free_rider,standard,google/gemma-4-31b-it,0.0,,40.55461918160128,,10.0,,118.0,,16.53511951608639,,82.67559758043195,,0.0,,0.0,,111.4631491580003,,0.0,,25.0,,-10.0,,2.6755975804319547,,,,50.0,,111461.32078494702,,2229.2264156989404,,1.0,19.571904387130886,,17.83315976127679,,50.0,,,,
centralized_leader_idx1,free_rider,standard,google/gemma-4-31b-it,0.7258689278809758,,40.62720607438938,,10.0,,114.0,,15.64382994322096,,78.21914971610481,,60.0,,10.0,,124.2393605699981,,0.1,,23.5,,-10.0,,2.7191497161048126,,,,50.0,,124237.43569204817,,2484.748713840964,,1.0,18.92493604542323,,17.152240079456146,,48.5,,1,Trading/Opportunity Team,profit
centralized_leader_idx2,free_rider,standard,google/gemma-4-31b-it,74.95615627857127,,71.77759681331392,,20.0,,100.0,,22.0,,110.0,,120.0,,20.0,,195.98290896599792,,1.0,,20.0,,20.0,,20.0,,,,100.0,,195979.13892004,,1959.7913892004,,0.0,3.2,,4.0,,10.0,,2,Compliance Department,sustainability
centralized_leader_idx4,free_rider,standard,google/gemma-4-31b-it,0.0,,40.55461918160128,,10.0,,117.0,,16.33511951608639,,81.67559758043195,,60.0,,10.0,,93.4730589210012,,0.0,,24.5,,-10.0,,2.6755975804319547,,,,50.0,,93471.3099549772,,1869.426199099544,,1.0,19.571904387130886,,17.742481080098585,,50.0,,4,Saboteur Department,free_rider
structured_debate,free_rider,standard,google/gemma-4-31b-it,1.7820398874261638,,36.93200059566363,,17.0,,152.0,,21.29771514484405,,106.48857572422024,,255.0,,34.0,,150.0242642209996,,0.8235294117647058,,31.0,,-8.0,,1.988575724220249,,,,85.0,,150020.82761498605,,1764.950913117483,,1.0,23.36182788412476,,21.31779107438836,,58.5,,,,
llm_centralized,free_rider,standard,google/gemma-4-31b-it,36.94640023156188,,50.73492987034706,,20.0,,154.0,,31.32265918148436,,156.6132959074218,,120.0,,20.0,,503.72421579100046,,1.0,,40.5,,20.0,,25.613295907421804,,,,120.0,,503718.9356790332,,4197.657797325276,,0.0,9.021872654812512,,8.142432514230842,,21.0,,,,
crewai_debate,free_rider,standard,google/gemma-4-31b-it,32.40174595552179,,48.10662668145004,,20.0,,155.0,,31.0819135390886,,155.409567695443,,220.0,,60.0,,2694.3886322679973,,1.0,,40.0,,20.0,,22.40956769544302,,,,320.0,,2694384.753028033,,8419.952353212602,,0.0,9.214469168729117,,8.494256624799442,,20.0,,,,
independent,standard,standard,openai/gpt-5.4-nano,0.4171529605184627,,39.93765285940988,,14.0,,135.0,,14.646882553598305,,73.23441276799151,,0.0,,0.0,,63.27027388299757,,0.0,,37.0,,-11.0,,3.006069708781146,,7.22834305921037,,70.0,,63267.66327695805,,903.8237610994008,,1.0,20.799028846595014,,19.223056758908946,,48.0,,,,
centralized_leader_idx1,standard,standard,openai/gpt-5.4-nano,2.2806119448063296,,37.21726523490187,,17.0,,150.0,,16.809349222259467,,84.04674611129734,,102.0,,17.0,,69.02708729100414,,0.4117647058823529,,38.0,,-8.0,,5.781133872401208,,10.265612238896129,,85.0,,69023.8827020512,,812.0456788476612,,1.0,19.87501858041581,,18.319569848173966,,46.0,,1,Trading/Opportunity Team,profit
centralized_leader_idx2,standard,standard,openai/gpt-5.4-nano,74.95615627857127,,71.77759681331392,,20.0,,100.0,,19.782743014212365,,98.91371507106184,,120.0,,20.0,,86.7939355540002,,1.0,,20.0,,20.0,,20.0,,18.91371507106184,,100.0,,86790.24792987911,,867.9024792987911,,0.0,0.34761117726021323,,0.43451397157526656,,1.0862849289381664,,2,Compliance Department,sustainability
centralized_leader_idx4,standard,standard,openai/gpt-5.4-nano,74.35507025931287,,69.9060809262611,,20.0,,105.0,,20.76047146205892,,103.80235731029455,,120.0,,20.0,,84.73814691099687,,1.0,,21.0,,21.0,,21.0,,19.802357310294564,,100.0,,84734.50713705097,,847.3450713705097,,0.0,0.3832456607057395,,0.47905707588217444,,1.197642689705436,,4,Risk Department,risk_averse
structured_debate,standard,standard,openai/gpt-5.4-nano,11.007629827994784,,37.89563110847919,,20.0,,161.0,,21.64097019482612,,108.20485097413058,,300.0,,40.0,,110.95290807299898,,0.5,,44.5,,-10.0,,10.768437254784017,,18.43641371934656,,100.0,,110948.67966095626,,1109.4867966095626,,0.0,22.917050039234553,,20.857625161433738,,55.0,,,,
llm_centralized,standard,standard,openai/gpt-5.4-nano,32.589146088589146,,47.76447730417259,,20.0,,158.0,,29.35469811869785,,146.77349059348927,,120.0,,20.0,,139.08070140400378,,1.0,,39.0,,24.0,,23.96929070772244,,20.80419988576682,,120.0,,139075.31210806337,,1158.9609342338615,,0.0,8.387569523319028,,7.9856135859285535,,19.19580011423318,,,,
crewai_debate,standard,standard,openai/gpt-5.4-nano,36.66891068424231,,49.87193250751025,,20.0,,154.0,,28.91230778188031,,144.56153890940155,,220.0,,60.0,,470.187721498005,,0.95,,40.0,,21.0,,24.690486565728524,,18.871052343673018,,320.0,,470183.7870109157,,1469.3243344091115,,0.0,9.801263250024634,,9.242608257837011,,21.128947656326982,,,,
independent,aggressive,standard,openai/gpt-5.4-nano,0.0,,40.93580337689819,,10.0,,117.0,,16.009424227153108,,80.04712113576554,,0.0,,0.0,,37.33556331699947,,0.0,,24.33333333333333,,,,3.787121135765533,,3.2600000000000016,,50.0,,37333.83340506407,,746.6766681012814,,1.0,10.350860618277515,,10.222148170244626,,21.74,,,,
centralized_leader_idx1,aggressive,standard,openai/gpt-5.4-nano,3.666904404905157,,45.23635125766573,,9.0,,109.0,,14.978727848989786,,74.89363924494893,,54.0,,9.0,,36.38063016399974,,0.0,,22.0,,,,6.560301156850822,,2.3333380880981025,,45.0,,36379.01151402912,,808.422478089536,,1.0,8.763683626712474,,8.702535010345397,,19.666661911901897,,1,Trading/Opportunity Team,profit
centralized_leader_idx2,aggressive,standard,openai/gpt-5.4-nano,0.0,,41.26250408260621,,10.0,,119.0,,16.430034785455014,,82.15017392727506,,60.0,,10.0,,44.58278530801181,,0.0,,25.0,,,,3.890173927275061,,3.259999999999999,,50.0,,44581.01886004442,,891.6203772008885,,1.0,10.33437217163599,,10.497912534672235,,21.740000000000002,,2,Investment Department,profit
